,Season,Name,Salary,Pos,Age,Team,GP,GS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,GS/GP,MPG,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PFPG,PPG,FGPG,FGAPG,3PPG,3PAPG,2PPG,2PAPG,FTPG,FTAPG,Cap,% of Cap
7267,2008.0,Mardy Collins,1034760.0,2.0,23.0,NYK,46.0,8.0,5.9,0.37799999999999995,0.183,0.217,3.3,10.4,6.7,21.4,2.0,1.0,22.6,17.5,-1.4,0.3,-1.0,-0.079,-5.7,-0.5,-6.2,-0.7,0.326,0.25,0.34299999999999997,0.349,0.605,0.17391304347826086,13.782608695652174,0.41304347826086957,1.2173913043478262,1.6304347826086956,1.934782608695652,0.5217391304347826,0.17391304347826086,1.2173913043478262,1.2173913043478262,3.152173913043478,1.2391304347826086,3.8043478260869565,0.17391304347826086,0.6956521739130435,1.065217391304348,3.108695652173913,0.5,0.8260869565217391,58680000,1.763394683026585
7268,2008.0,Mario West,711517.0,2.0,23.0,ATL,64.0,2.0,8.6,0.488,0.08199999999999999,0.531,11.3,9.5,10.4,7.2,2.4,1.1,13.0,11.7,0.2,0.2,0.5,0.08199999999999999,-1.9,0.0,-1.9,0.0,0.429,0.0,0.467,0.429,0.654,0.03125,4.203125,0.40625,0.34375,0.75,0.203125,0.1875,0.0625,0.140625,0.953125,0.921875,0.328125,0.765625,0.0,0.0625,0.328125,0.703125,0.265625,0.40625,58680000,1.2125374914792093
7270,2008.0,Mark Madsen,2630000.0,4.0,32.0,MIN,20.0,6.0,0.2,0.185,0.0,0.632,13.4,15.8,14.6,3.5,1.0,1.1,27.0,9.9,-0.4,0.1,-0.3,-0.102,-7.8,-0.1,-7.9,-0.2,0.158,0.0,0.158,0.158,0.25,0.3,7.55,0.9,1.0,1.9,0.2,0.15,0.1,0.45,1.25,0.45,0.15,0.95,0.0,0.0,0.15,0.95,0.15,0.6,58680000,4.481935923653715
7271,2008.0,Marko Jaric,6575000.0,2.0,29.0,MIN,75.0,56.0,12.1,0.518,0.24100000000000002,0.309,2.0,10.1,5.9,21.0,2.3,1.2,17.6,15.0,1.1,1.3,2.4,0.053,-0.9,0.3,-0.6,0.8,0.43,0.36200000000000004,0.451,0.473,0.742,0.7466666666666667,29.186666666666667,0.5066666666666667,2.453333333333333,2.96,4.1466666666666665,1.2933333333333332,0.4266666666666667,1.7066666666666668,2.4,8.28,3.026666666666667,7.04,0.6133333333333333,1.6933333333333334,2.4133333333333336,5.346666666666667,1.6133333333333333,2.1733333333333333,58680000,11.204839809134286
7272,2008.0,Marquis Daniels,6864200.0,2.0,27.0,IND,74.0,1.0,11.6,0.48700000000000004,0.182,0.248,4.6,10.5,7.5,14.1,2.5,0.9,15.3,20.6,-0.7,1.6,0.9,0.027999999999999997,-2.7,0.2,-2.5,-0.2,0.43,0.265,0.466,0.45399999999999996,0.698,0.013513513513513514,20.89189189189189,0.8918918918918919,1.972972972972973,2.864864864864865,1.8513513513513513,1.0675675675675675,0.24324324324324326,1.5135135135135136,1.635135135135135,8.18918918918919,3.2567567567567566,7.581081081081081,0.36486486486486486,1.3783783783783783,2.891891891891892,6.202702702702703,1.3108108108108107,1.8783783783783783,58680000,11.697682344921608
7273,2008.0,Martell Webster,3771133.0,3.0,21.0,POR,75.0,70.0,12.0,0.5479999999999999,0.483,0.253,3.0,13.3,8.2,7.0,1.1,1.0,10.2,18.0,1.8,1.7,3.5,0.079,0.4,-0.3,0.0,1.1,0.42200000000000004,0.38799999999999996,0.45399999999999996,0.516,0.735,0.9333333333333333,28.426666666666666,0.72,3.2266666666666666,3.9466666666666668,1.2,0.56,0.37333333333333335,1.1066666666666667,2.12,10.653333333333334,3.6933333333333334,8.746666666666666,1.64,4.226666666666667,2.0533333333333332,4.52,1.6266666666666667,2.2133333333333334,58680000,6.426607021131561
7274,2008.0,Marvin Williams,5636143.0,3.0,21.0,ATL,80.0,80.0,14.5,0.54,0.011000000000000001,0.446,5.0,14.2,9.6,8.3,1.5,0.9,10.4,20.1,3.6,2.1,5.7,0.099,-1.0,-0.6,-1.6,0.3,0.462,0.1,0.466,0.462,0.8220000000000001,1.0,34.5625,1.4875,4.225,5.7125,1.7125,1.0125,0.4125,1.5875,2.8125,14.8125,5.3,11.475,0.0125,0.125,5.2875,11.35,4.2,5.1125,58680000,9.604879004771643
7275,2008.0,Matt Barnes,926678.0,4.0,27.0,GSW,73.0,18.0,12.9,0.51,0.41,0.179,6.8,18.1,12.3,13.5,1.6,1.9,15.1,16.7,1.0,1.3,2.3,0.077,-0.7,0.5,-0.2,0.6,0.423,0.293,0.513,0.483,0.747,0.2465753424657534,19.36986301369863,1.2876712328767124,3.1506849315068495,4.438356164383562,1.904109589041096,0.6575342465753424,0.4931506849315068,1.1643835616438356,2.1780821917808217,6.657534246575342,2.5616438356164384,6.054794520547945,0.726027397260274,2.4794520547945207,1.8356164383561644,3.5753424657534247,0.8082191780821918,1.082191780821918,58680000,1.5792058623040217
7276,2008.0,Matt Bonner,2987000.0,4.0,27.0,SAS,68.0,3.0,12.4,0.525,0.47100000000000003,0.151,7.4,19.0,13.3,6.2,0.9,1.5,11.2,19.6,0.5,1.5,2.0,0.11,-1.4,-0.2,-1.6,0.1,0.41600000000000004,0.336,0.48700000000000004,0.495,0.8640000000000001,0.04411764705882353,12.544117647058824,0.7794117647058824,2.0441176470588234,2.823529411764706,0.47058823529411764,0.20588235294117646,0.25,0.5735294117647058,1.6323529411764706,4.794117647058823,1.7794117647058822,4.279411764705882,0.6764705882352942,2.014705882352941,1.1029411764705883,2.264705882352941,0.5588235294117647,0.6470588235294118,58680000,5.090320381731424
7277,2008.0,Matt Carroll,5050000.0,2.0,27.0,CHO,80.0,18.0,10.7,0.5539999999999999,0.409,0.23399999999999999,1.9,11.1,6.4,5.8,1.2,0.7,8.2,16.1,1.9,1.0,3.0,0.071,-0.7,-1.5,-2.2,-0.1,0.428,0.436,0.42200000000000004,0.517,0.804,0.225,25.2,0.4125,2.4125,2.825,0.9125,0.575,0.2375,0.725,2.3375,9.0,3.15,7.3625,1.3125,3.0125,1.8375,4.35,1.3875,1.725,58680000,8.605998636673483
