,Season,Name,Salary,Pos,Age,Team,GP,GS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,GS/GP,MPG,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PFPG,PPG,FGPG,FGAPG,3PPG,3PAPG,2PPG,2PAPG,FTPG,FTAPG,Cap,% of Cap
0,1995.0,A.C. Green,6473000.0,3.0,31.0,PHO,82.0,52.0,14.2,0.596,0.20600000000000002,0.556,8.3,20.4,14.3,6.5,1.0,0.8,12.9,14.2,4.6,2.1,6.7,0.12,0.6,0.2,0.7,1.9,0.504,0.33899999999999997,0.547,0.539,0.732,0.6341463414634146,32.76829268292683,2.3658536585365852,5.7926829268292686,8.158536585365853,1.548780487804878,0.6707317073170732,0.3780487804878049,1.3902439024390243,1.7804878048780488,11.170731707317072,3.792682926829268,7.524390243902439,0.524390243902439,1.548780487804878,3.268292682926829,5.975609756097561,3.0609756097560976,4.182926829268292,23000000,28.143478260869564
1,1995.0,Aaron McKie,845000.0,2.0,22.0,POR,45.0,20.0,13.3,0.5,0.107,0.28,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,0.8,1.2,2.0,0.115,-1.2,1.3,0.1,0.4,0.444,0.39299999999999996,0.451,0.466,0.685,0.4444444444444444,18.377777777777776,0.7777777777777778,2.088888888888889,2.8666666666666667,1.9777777777777779,0.8,0.35555555555555557,0.8666666666666667,2.1555555555555554,6.511111111111111,2.577777777777778,5.8,0.24444444444444444,0.6222222222222222,2.3333333333333335,5.177777777777778,1.1111111111111112,1.6222222222222222,23000000,3.6739130434782608
4,1995.0,Acie Earl,1040000.0,5.0,24.0,BOS,30.0,3.0,6.6,0.409,0.0,0.426,10.4,14.6,12.5,1.4,1.5,2.6,14.8,19.7,-0.4,0.2,-0.2,-0.038,-6.8,-1.9,-8.7,-0.4,0.382,0.0,0.382,0.382,0.483,0.1,6.933333333333334,0.6333333333333333,0.8666666666666667,1.5,0.06666666666666667,0.2,0.26666666666666666,0.4666666666666667,1.3,2.2,0.8666666666666667,2.2666666666666666,0.0,0.0,0.8666666666666667,2.2666666666666666,0.4666666666666667,0.9666666666666667,23000000,4.521739130434783
5,1995.0,Adam Keefe,1650000.0,3.0,24.0,UTA,75.0,0.0,15.1,0.616,0.0,0.581,14.0,18.0,16.1,3.5,1.5,1.6,14.2,15.6,2.4,1.7,4.1,0.154,0.6,0.2,0.8,0.9,0.5770000000000001,0.0,0.5770000000000001,0.5770000000000001,0.6759999999999999,0.0,16.933333333333334,1.8,2.56,4.36,0.4,0.48,0.3333333333333333,0.8266666666666667,1.88,6.1466666666666665,2.2933333333333334,3.973333333333333,0.0,0.0,2.2933333333333334,3.973333333333333,1.56,2.3066666666666666,23000000,7.173913043478261
11,1995.0,Alonzo Mourning,4560000.0,5.0,24.0,NOP,77.0,77.0,20.1,0.593,0.031,0.585,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,4.3,5.1,9.4,0.153,-0.8,2.1,1.3,2.5,0.519,0.324,0.525,0.524,0.7609999999999999,1.0,38.1948051948052,2.5974025974025974,7.285714285714286,9.883116883116884,1.4415584415584415,0.6363636363636364,2.9220779220779223,3.1298701298701297,3.5714285714285716,21.337662337662337,7.415584415584416,14.2987012987013,0.14285714285714285,0.44155844155844154,7.2727272727272725,13.857142857142858,6.363636363636363,8.363636363636363,23000000,19.82608695652174
13,1995.0,Alton Lister,300000.0,5.0,36.0,MIL,60.0,32.0,10.2,0.507,0.006999999999999999,0.522,10.1,27.0,18.3,2.3,1.1,5.5,18.7,11.6,0.0,1.0,1.0,0.062,-5.5,1.4,-4.0,-0.4,0.493,0.0,0.496,0.493,0.5,0.5333333333333333,12.933333333333334,1.1166666666666667,2.816666666666667,3.933333333333333,0.2,0.26666666666666666,0.95,0.6333333333333333,2.433333333333333,2.783333333333333,1.1,2.2333333333333334,0.0,0.016666666666666666,1.1,2.216666666666667,0.5833333333333334,1.1666666666666667,23000000,1.3043478260869565
15,1995.0,Andrew Lang,1964000.0,5.0,28.0,ATL,82.0,63.0,13.1,0.523,0.004,0.278,7.5,15.4,11.3,5.0,1.0,4.6,12.4,16.8,1.4,3.4,4.9,0.1,-3.2,2.1,-1.1,0.5,0.473,0.667,0.47200000000000003,0.474,0.809,0.7682926829268293,28.536585365853657,1.8780487804878048,3.682926829268293,5.560975609756097,0.8780487804878049,0.5487804878048781,1.7560975609756098,1.3170731707317074,3.3048780487804876,9.682926829268293,3.902439024390244,8.25609756097561,0.024390243902439025,0.036585365853658534,3.8780487804878048,8.21951219512195,1.853658536585366,2.292682926829268,23000000,8.539130434782608
16,1995.0,Anfernee Hardaway,5230000.0,1.0,23.0,ORL,77.0,77.0,20.8,0.599,0.218,0.405,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,8.2,2.5,10.7,0.177,4.9,-0.7,4.2,4.5,0.512,0.349,0.5579999999999999,0.55,0.769,1.0,37.675324675324674,1.8051948051948052,2.5584415584415585,4.363636363636363,7.1558441558441555,1.6883116883116882,0.33766233766233766,3.3506493506493507,2.051948051948052,20.948051948051948,7.597402597402597,14.831168831168831,1.12987012987013,3.2337662337662336,6.467532467532467,11.597402597402597,4.623376623376624,6.012987012987013,23000000,22.73913043478261
17,1995.0,Anthony Avent,950000.0,4.0,25.0,ORL,71.0,3.0,9.8,0.466,0.0,0.307,10.7,20.4,15.7,5.0,1.3,3.2,16.1,13.3,0.1,1.5,1.5,0.069,-3.7,1.1,-2.7,-0.2,0.43,0.0,0.43,0.43,0.64,0.04225352112676056,15.014084507042254,1.3661971830985915,2.76056338028169,4.126760563380282,0.5774647887323944,0.39436619718309857,0.704225352112676,0.7464788732394366,2.3943661971830985,3.6338028169014085,1.4788732394366197,3.436619718309859,0.0,0.0,1.4788732394366197,3.436619718309859,0.676056338028169,1.056338028169014,23000000,4.130434782608695
19,1995.0,Anthony Bowie,370000.0,2.0,31.0,ORL,77.0,4.0,11.7,0.532,0.10800000000000001,0.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,1.0,1.0,2.0,0.077,-1.2,-0.7,-2.0,0.0,0.48,0.3,0.502,0.496,0.836,0.05194805194805195,16.376623376623378,0.7012987012987013,1.103896103896104,1.8051948051948052,2.064935064935065,0.6103896103896104,0.2727272727272727,1.1168831168831168,1.7922077922077921,5.545454545454546,2.2987012987012987,4.792207792207792,0.15584415584415584,0.5194805194805194,2.142857142857143,4.2727272727272725,0.7922077922077922,0.948051948051948,23000000,1.608695652173913
20,1995.0,Anthony Mason,3472000.0,4.0,28.0,NYK,77.0,11.0,14.9,0.599,0.002,0.588,8.9,21.2,15.3,15.0,1.5,0.6,16.2,14.0,4.2,4.4,8.6,0.166,0.2,3.0,3.3,3.3,0.5660000000000001,0.0,0.5670000000000001,0.5660000000000001,0.6409999999999999,0.14285714285714285,32.41558441558441,2.3636363636363638,6.077922077922078,8.441558441558442,3.116883116883117,0.8961038961038961,0.2727272727272727,1.5974025974025974,3.2857142857142856,9.935064935064934,3.727272727272727,6.584415584415584,0.0,0.012987012987012988,3.727272727272727,6.571428571428571,2.4805194805194803,3.8701298701298703,23000000,15.095652173913043
21,1995.0,Anthony Miller,550000.0,4.0,23.0,LAL,46.0,1.0,14.7,0.5710000000000001,0.038,0.5760000000000001,14.1,17.8,15.9,9.6,1.9,0.9,18.7,16.6,0.6,0.6,1.2,0.111,-0.8,-0.2,-1.0,0.1,0.53,0.4,0.535,0.5379999999999999,0.618,0.021739130434782608,11.456521739130435,1.4565217391304348,1.8478260869565217,3.3043478260869565,0.7608695652173914,0.43478260869565216,0.15217391304347827,0.8260869565217391,1.673913043478261,4.108695652173913,1.5217391304347827,2.869565217391304,0.043478260869565216,0.10869565217391304,1.4782608695652173,2.760869565217391,1.0217391304347827,1.6521739130434783,23000000,2.391304347826087
22,1995.0,Anthony Peeler,1330000.0,2.0,25.0,LAL,73.0,24.0,13.8,0.528,0.32799999999999996,0.19399999999999998,4.4,7.5,6.0,12.2,1.7,0.6,10.3,22.0,1.6,0.8,2.4,0.073,0.4,-2.5,-2.1,0.0,0.43200000000000005,0.389,0.45399999999999996,0.496,0.797,0.3287671232876712,21.356164383561644,0.8493150684931506,1.452054794520548,2.3013698630136985,1.6712328767123288,0.7123287671232876,0.1780821917808219,1.1232876712328768,1.9589041095890412,10.356164383561644,3.904109589041096,9.027397260273972,1.1506849315068493,2.958904109589041,2.7534246575342465,6.068493150684931,1.3972602739726028,1.7534246575342465,23000000,5.782608695652174
23,1995.0,Anthony Tucker,225000.0,3.0,25.0,WAS,62.0,13.0,9.2,0.493,0.005,0.395,5.0,15.3,10.0,9.9,2.4,0.8,18.5,13.5,-0.2,0.9,0.6,0.03,-3.8,0.9,-2.9,-0.2,0.457,0.0,0.45899999999999996,0.457,0.614,0.20967741935483872,15.838709677419354,0.7096774193548387,2.032258064516129,2.7419354838709675,1.096774193548387,0.7419354838709677,0.1774193548387097,0.9032258064516129,2.0806451612903225,3.9193548387096775,1.5483870967741935,3.3870967741935485,0.0,0.016129032258064516,1.5483870967741935,3.370967741935484,0.8225806451612904,1.3387096774193548,23000000,0.9782608695652175
24,1995.0,Antoine Carr,2525000.0,5.0,33.0,UTA,78.0,4.0,13.9,0.588,0.006999999999999999,0.368,6.4,13.0,9.9,6.2,0.7,3.3,12.1,19.5,2.4,1.9,4.3,0.12300000000000001,-0.6,0.5,-0.1,0.8,0.531,0.25,0.5329999999999999,0.532,0.821,0.05128205128205128,21.5,1.0384615384615385,2.358974358974359,3.3974358974358974,0.8589743589743589,0.3076923076923077,0.8717948717948718,1.1153846153846154,3.2435897435897436,9.564102564102564,3.717948717948718,7.0,0.01282051282051282,0.05128205128205128,3.7051282051282053,6.948717948717949,2.1153846153846154,2.576923076923077,23000000,10.978260869565219
25,1995.0,Antonio Davis,800000.0,4.0,26.0,IND,44.0,1.0,11.9,0.521,0.0,0.71,12.6,20.1,16.4,3.7,1.0,2.2,16.6,17.1,0.5,1.5,2.0,0.095,-2.6,0.4,-2.2,-0.1,0.445,0.0,0.445,0.445,0.672,0.022727272727272728,23.40909090909091,2.3863636363636362,3.977272727272727,6.363636363636363,0.5681818181818182,0.4318181818181818,0.6590909090909091,1.4545454545454546,3.0454545454545454,7.613636363636363,2.477272727272727,5.568181818181818,0.0,0.0,2.477272727272727,5.568181818181818,2.659090909090909,3.9545454545454546,23000000,3.4782608695652173
26,1995.0,Antonio Harvey,400000.0,4.0,24.0,LAL,59.0,8.0,10.3,0.457,0.006,0.256,7.5,12.2,9.9,5.8,1.3,5.0,11.3,16.6,-0.2,0.6,0.4,0.032,-4.8,0.7,-4.1,-0.3,0.43799999999999994,1.0,0.434,0.44,0.5329999999999999,0.13559322033898305,9.694915254237289,0.6610169491525424,1.0677966101694916,1.728813559322034,0.3898305084745763,0.2542372881355932,0.6949152542372882,0.423728813559322,1.4745762711864407,3.0338983050847457,1.305084745762712,2.983050847457627,0.01694915254237288,0.01694915254237288,1.2881355932203389,2.9661016949152543,0.4067796610169492,0.7627118644067796,23000000,1.7391304347826086
28,1995.0,Armen Gilliam,1920000.0,4.0,30.0,BRK,82.0,30.0,18.1,0.562,0.002,0.433,8.5,18.7,13.6,7.2,1.4,2.5,12.4,21.8,3.6,3.0,6.6,0.128,-0.7,0.6,-0.1,1.2,0.503,0.0,0.504,0.503,0.77,0.36585365853658536,30.146341463414632,2.341463414634146,5.134146341463414,7.475609756097561,1.2073170731707317,0.8170731707317073,1.0853658536585367,1.853658536585366,2.0853658536585367,14.78048780487805,5.548780487804878,11.036585365853659,0.0,0.024390243902439025,5.548780487804878,11.012195121951219,3.682926829268293,4.780487804878049,23000000,8.347826086956523
30,1995.0,Avery Johnson,845000.0,1.0,29.0,SAS,82.0,82.0,15.7,0.5539999999999999,0.025,0.342,1.9,5.7,3.9,33.4,1.9,0.3,17.3,17.5,5.1,3.0,8.0,0.128,0.8,-0.8,-0.1,1.5,0.519,0.136,0.529,0.521,0.685,1.0,36.71951219512195,0.5975609756097561,1.9390243902439024,2.5365853658536586,8.170731707317072,1.3902439024390243,0.15853658536585366,2.524390243902439,1.8780487804878048,13.426829268292684,5.463414634146342,10.524390243902438,0.036585365853658534,0.2682926829268293,5.426829268292683,10.25609756097561,2.4634146341463414,3.597560975609756,23000000,3.6739130434782608
31,1995.0,B.J. Armstrong,2400000.0,1.0,27.0,CHI,82.0,82.0,15.1,0.5770000000000001,0.28300000000000003,0.261,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19.0,5.4,2.8,8.1,0.152,1.3,-1.2,0.2,1.4,0.46799999999999997,0.42700000000000005,0.484,0.528,0.884,1.0,31.426829268292682,0.3048780487804878,1.9634146341463414,2.268292682926829,2.975609756097561,1.024390243902439,0.0975609756097561,1.2560975609756098,1.9390243902439024,14.024390243902438,5.097560975609756,10.902439024390244,1.3170731707317074,3.0853658536585367,3.7804878048780486,7.817073170731708,2.5121951219512195,2.841463414634146,23000000,10.434782608695652
32,1995.0,B.J. Tyler,845000.0,1.0,23.0,PHI,55.0,8.0,8.5,0.462,0.27,0.265,1.9,7.1,4.5,32.8,2.3,0.2,31.5,17.0,-1.2,0.5,-0.7,-0.039,-4.6,-2.6,-7.2,-1.1,0.381,0.314,0.406,0.423,0.7,0.14545454545454545,14.709090909090909,0.23636363636363636,0.8909090909090909,1.1272727272727272,3.1636363636363636,0.6545454545454545,0.03636363636363636,1.7636363636363637,1.0545454545454545,3.5454545454545454,1.309090909090909,3.4363636363636365,0.2909090909090909,0.9272727272727272,1.018181818181818,2.5090909090909093,0.6363636363636364,0.9090909090909091,23000000,3.6739130434782608
33,1995.0,Benoit Benjamin,3975000.0,5.0,30.0,BRK,61.0,57.0,13.9,0.555,0.0,0.33,6.4,23.7,15.1,4.2,0.7,2.8,17.1,20.1,0.1,2.1,2.2,0.066,-4.2,0.0,-4.3,-0.9,0.51,0.0,0.51,0.51,0.76,0.9344262295081968,26.19672131147541,1.540983606557377,5.672131147540983,7.213114754098361,0.6229508196721312,0.3770491803278688,1.0491803278688525,2.0491803278688523,2.4754098360655736,11.065573770491802,4.442622950819672,8.704918032786885,0.0,0.0,4.442622950819672,8.704918032786885,2.180327868852459,2.8688524590163933,23000000,17.282608695652176
35,1995.0,Bill Curley,913000.0,4.0,22.0,DET,53.0,1.0,9.0,0.47700000000000004,0.0,0.26899999999999996,10.6,13.9,12.2,6.2,1.8,2.6,14.3,13.2,0.1,0.4,0.5,0.042,-3.6,0.2,-3.4,-0.2,0.433,0.0,0.433,0.433,0.75,0.018867924528301886,11.226415094339623,1.0188679245283019,1.320754716981132,2.339622641509434,0.4716981132075472,0.39622641509433965,0.39622641509433965,0.4716981132075472,2.4150943396226414,2.69811320754717,1.0943396226415094,2.5283018867924527,0.0,0.0,1.0943396226415094,2.5283018867924527,0.5094339622641509,0.6792452830188679,23000000,3.9695652173913043
36,1995.0,Bill Wennington,1000000.0,5.0,31.0,CHI,73.0,1.0,11.6,0.527,0.013000000000000001,0.19899999999999998,7.9,15.5,11.7,6.5,1.2,1.3,10.2,17.9,1.0,1.3,2.3,0.11599999999999999,-2.7,-0.7,-3.3,-0.3,0.49200000000000005,0.0,0.498,0.49200000000000005,0.81,0.0136986301369863,13.095890410958905,0.8767123287671232,1.726027397260274,2.6027397260273974,0.547945205479452,0.3013698630136986,0.2328767123287671,0.5342465753424658,2.712328767123288,4.972602739726027,2.136986301369863,4.342465753424658,0.0,0.0547945205479452,2.136986301369863,4.287671232876712,0.6986301369863014,0.863013698630137,23000000,4.3478260869565215
37,1995.0,Billy Owens,3320000.0,2.0,25.0,MIA,70.0,60.0,15.6,0.523,0.027000000000000003,0.382,10.2,15.6,12.8,17.3,1.8,1.0,17.6,22.3,1.2,2.1,3.2,0.067,0.2,0.9,1.1,1.8,0.491,0.091,0.503,0.493,0.62,0.8571428571428571,32.8,2.9,4.271428571428571,7.171428571428572,3.5142857142857142,1.1428571428571428,0.42857142857142855,2.914285714285714,2.9285714285714284,14.314285714285715,5.757142857142857,11.714285714285714,0.02857142857142857,0.3142857142857143,5.728571428571429,11.4,2.7714285714285714,4.4714285714285715,23000000,14.43478260869565
38,1995.0,Bimbo Coles,1002000.0,1.0,26.0,MIA,68.0,65.0,12.5,0.49700000000000005,0.125,0.287,2.4,7.9,5.1,27.9,2.3,0.5,18.6,16.8,1.2,1.6,2.8,0.06,-0.9,-0.6,-1.5,0.3,0.43,0.21100000000000002,0.461,0.44299999999999995,0.81,0.9558823529411765,32.455882352941174,0.6764705882352942,2.1323529411764706,2.8088235294117645,6.117647058823529,1.4558823529411764,0.19117647058823528,2.2941176470588234,2.7205882352941178,9.985294117647058,3.838235294117647,8.926470588235293,0.23529411764705882,1.1176470588235294,3.6029411764705883,7.8088235294117645,2.073529411764706,2.5588235294117645,23000000,4.356521739130435
39,1995.0,Bison Dele,2200000.0,5.0,25.0,DEN,63.0,10.0,13.9,0.616,0.0,0.486,9.6,18.5,14.2,6.8,1.6,2.5,22.0,18.5,0.8,1.5,2.3,0.08900000000000001,-1.6,0.7,-0.8,0.4,0.589,0.0,0.589,0.589,0.654,0.15873015873015872,20.015873015873016,1.5555555555555556,3.1746031746031744,4.73015873015873,0.8412698412698413,0.6031746031746031,0.6825396825396826,1.8095238095238095,3.3333333333333335,7.904761904761905,3.111111111111111,5.285714285714286,0.0,0.0,3.111111111111111,5.285714285714286,1.6825396825396826,2.5714285714285716,23000000,9.565217391304348
41,1995.0,Blue Edwards,1900000.0,3.0,29.0,BOS,31.0,7.0,12.7,0.509,0.221,0.24600000000000002,5.6,9.2,7.4,14.5,1.9,1.4,15.3,21.8,0.2,0.4,0.5,0.051,-0.8,-0.8,-1.7,0.0,0.426,0.256,0.474,0.45399999999999996,0.8959999999999999,0.22580645161290322,16.35483870967742,0.8064516129032258,1.2903225806451613,2.096774193548387,1.5161290322580645,0.6129032258064516,0.3225806451612903,1.2580645161290323,2.064516129032258,7.096774193548387,2.6774193548387095,6.290322580645161,0.3548387096774194,1.3870967741935485,2.3225806451612905,4.903225806451613,1.3870967741935485,1.5483870967741935,23000000,8.26086956521739
42,1995.0,Blue Edwards,1900000.0,3.0,29.0,UTA,36.0,0.0,10.6,0.552,0.162,0.212,5.5,7.9,6.7,7.5,2.1,0.8,16.2,19.4,0.1,0.6,0.7,0.055,-1.1,-0.2,-1.3,0.1,0.495,0.344,0.524,0.523,0.762,0.0,16.805555555555557,0.6944444444444444,1.1111111111111112,1.8055555555555556,0.8333333333333334,0.6666666666666666,0.16666666666666666,1.1666666666666667,2.1944444444444446,6.638888888888889,2.7222222222222223,5.5,0.3055555555555556,0.8888888888888888,2.4166666666666665,4.611111111111111,0.8888888888888888,1.1666666666666667,23000000,8.26086956521739
43,1995.0,Bo Outlaw,500000.0,4.0,23.0,LAC,81.0,31.0,13.3,0.519,0.015,0.5720000000000001,8.1,14.6,11.1,7.6,2.8,6.7,16.1,12.7,0.3,2.2,2.5,0.071,-2.8,4.8,2.0,1.7,0.523,0.0,0.531,0.523,0.441,0.38271604938271603,20.432098765432098,1.4938271604938271,2.3703703703703702,3.8641975308641974,1.037037037037037,1.1111111111111112,1.8641975308641976,0.9629629629629629,2.802469135802469,5.209876543209877,2.0987654320987654,4.012345679012346,0.0,0.06172839506172839,2.0987654320987654,3.950617283950617,1.0123456790123457,2.2962962962962963,23000000,2.1739130434782608
45,1995.0,Bobby Hurley,2584000.0,1.0,23.0,SAC,68.0,6.0,7.7,0.449,0.268,0.268,1.5,5.8,3.7,30.6,1.4,0.0,25.7,17.2,-1.1,0.8,-0.3,-0.013999999999999999,-4.5,-2.7,-7.2,-1.4,0.363,0.276,0.39399999999999996,0.4,0.763,0.08823529411764706,16.25,0.20588235294117646,0.8235294117647058,1.0294117647058822,3.323529411764706,0.4264705882352941,0.0,1.6176470588235294,1.161764705882353,4.1911764705882355,1.5147058823529411,4.176470588235294,0.3088235294117647,1.1176470588235294,1.2058823529411764,3.0588235294117645,0.8529411764705882,1.1176470588235294,23000000,11.234782608695653
46,1995.0,Bobby Phills,1658000.0,2.0,25.0,CLE,80.0,79.0,12.2,0.47700000000000004,0.067,0.28800000000000003,4.4,9.0,6.6,12.9,2.6,0.8,10.9,19.8,0.5,3.6,4.0,0.078,-1.8,1.3,-0.5,1.0,0.414,0.345,0.419,0.426,0.779,0.9875,31.25,1.125,2.1875,3.3125,2.25,1.4375,0.3125,1.4125,2.575,10.975,4.225,10.2,0.2375,0.6875,3.9875,9.5125,2.2875,2.9375,23000000,7.208695652173914
47,1995.0,Brad Lohaus,485000.0,4.0,30.0,MIA,61.0,1.0,12.7,0.562,0.6709999999999999,0.065,4.4,12.1,8.2,8.9,1.4,2.6,10.9,16.1,0.9,0.6,1.5,0.099,0.9,-0.7,0.2,0.4,0.42,0.406,0.447,0.556,0.667,0.01639344262295082,11.967213114754099,0.45901639344262296,1.2131147540983607,1.6721311475409837,0.7049180327868853,0.32786885245901637,0.4098360655737705,0.47540983606557374,1.3934426229508197,4.377049180327869,1.5901639344262295,3.7868852459016393,1.0327868852459017,2.540983606557377,0.5573770491803278,1.2459016393442623,0.16393442622950818,0.2459016393442623,23000000,2.108695652173913
48,1995.0,Brian Grant,1050000.0,4.0,22.0,SAC,80.0,59.0,16.5,0.546,0.005,0.449,10.7,19.5,15.2,7.4,1.1,3.8,14.4,22.0,1.9,3.4,5.3,0.11199999999999999,-1.4,1.6,0.2,1.3,0.511,0.25,0.512,0.511,0.636,0.7375,28.6125,2.5875,4.8875,7.475,1.2375,0.6125,1.45,2.0375,3.45,13.225,5.1625,10.1125,0.0125,0.05,5.15,10.0625,2.8875,4.5375,23000000,4.565217391304348
50,1995.0,Brian Shaw,4250000.0,1.0,28.0,ORL,78.0,9.0,10.4,0.46799999999999997,0.37200000000000005,0.192,3.3,11.4,7.5,29.0,2.0,0.7,25.6,16.8,-0.4,1.8,1.3,0.035,-1.9,-0.5,-2.5,-0.2,0.389,0.261,0.465,0.43700000000000006,0.737,0.11538461538461539,23.53846153846154,0.6666666666666666,2.423076923076923,3.08974358974359,5.205128205128205,0.9358974358974359,0.23076923076923078,2.358974358974359,2.358974358974359,6.435897435897436,2.4615384615384617,6.333333333333333,0.6153846153846154,2.358974358974359,1.8461538461538463,3.9743589743589745,0.8974358974358975,1.2179487179487178,23000000,18.478260869565215
51,1995.0,Brooks Thompson,825000.0,1.0,24.0,ORL,38.0,2.0,10.5,0.486,0.509,0.105,3.4,7.2,5.3,25.5,2.1,0.6,18.5,25.5,-0.1,0.2,0.1,0.022000000000000002,-0.9,-3.4,-4.2,-0.1,0.395,0.31,0.48200000000000004,0.474,0.667,0.05263157894736842,6.473684210526316,0.18421052631578946,0.42105263157894735,0.6052631578947368,1.131578947368421,0.2631578947368421,0.05263157894736842,0.7105263157894737,1.2105263157894737,3.0526315789473686,1.1842105263157894,3.0,0.47368421052631576,1.5263157894736843,0.7105263157894737,1.4736842105263157,0.21052631578947367,0.3157894736842105,23000000,3.5869565217391304
52,1995.0,Bryant Stith,1550000.0,2.0,24.0,DEN,81.0,51.0,14.4,0.5670000000000001,0.10300000000000001,0.49,5.0,8.7,6.9,10.2,2.1,0.6,12.0,17.7,3.8,1.8,5.6,0.115,0.5,-0.2,0.3,1.3,0.47200000000000003,0.294,0.49200000000000005,0.48700000000000004,0.8240000000000001,0.6296296296296297,28.753086419753085,1.1728395061728396,2.1358024691358026,3.308641975308642,1.8888888888888888,1.123456790123457,0.2222222222222222,1.3580246913580247,1.7530864197530864,11.246913580246913,3.8518518518518516,8.160493827160494,0.24691358024691357,0.8395061728395061,3.6049382716049383,7.320987654320987,3.2962962962962963,4.0,23000000,6.739130434782608
53,1995.0,Bryon Russell,300000.0,3.0,24.0,UTA,63.0,15.0,11.0,0.507,0.185,0.391,6.7,13.4,10.2,5.7,2.9,1.0,13.1,16.9,0.1,1.3,1.4,0.079,-1.5,1.1,-0.4,0.3,0.43700000000000006,0.295,0.469,0.46399999999999997,0.667,0.23809523809523808,13.65079365079365,0.6984126984126984,1.5396825396825398,2.238095238095238,0.5396825396825397,0.7619047619047619,0.1746031746031746,0.6666666666666666,1.6031746031746033,4.492063492063492,1.6507936507936507,3.7777777777777777,0.20634920634920634,0.6984126984126984,1.4444444444444444,3.0793650793650795,0.9841269841269841,1.4761904761904763,23000000,1.3043478260869565
54,1995.0,Buck Williams,3400000.0,4.0,34.0,POR,82.0,82.0,13.6,0.545,0.003,0.33899999999999997,11.2,20.4,15.6,4.7,1.4,2.1,14.6,14.2,2.5,3.6,6.1,0.121,-1.3,1.8,0.6,1.6,0.512,0.5,0.512,0.512,0.6729999999999999,1.0,29.536585365853657,3.0609756097560976,5.097560975609756,8.158536585365853,0.9512195121951219,0.8170731707317073,0.8414634146341463,1.451219512195122,3.097560975609756,9.231707317073171,3.768292682926829,7.365853658536586,0.012195121951219513,0.024390243902439025,3.7560975609756095,7.341463414634147,1.6829268292682926,2.5,23000000,14.782608695652174
55,1995.0,Byron Houston,800000.0,4.0,25.0,OKC,39.0,0.0,13.8,0.5329999999999999,0.20600000000000002,0.355,9.4,15.8,12.7,3.6,2.5,1.5,13.9,24.1,0.1,0.4,0.5,0.091,-2.5,-2.2,-4.7,-0.2,0.45799999999999996,0.273,0.506,0.486,0.737,0.0,6.615384615384615,0.5128205128205128,0.8974358974358975,1.4102564102564104,0.15384615384615385,0.3333333333333333,0.1282051282051282,0.5128205128205128,1.2820512820512822,3.3846153846153846,1.2564102564102564,2.7435897435897436,0.15384615384615385,0.5641025641025641,1.1025641025641026,2.1794871794871793,0.717948717948718,0.9743589743589743,23000000,3.4782608695652173
56,1995.0,Byron Scott,1650000.0,1.0,33.0,IND,80.0,1.0,15.8,0.5870000000000001,0.348,0.389,1.5,10.3,6.0,12.2,2.1,0.7,14.8,24.0,2.1,1.9,3.9,0.124,0.9,-1.0,-0.1,0.7,0.455,0.389,0.489,0.522,0.85,0.0125,19.1,0.225,1.6625,1.8875,1.35,0.7625,0.1625,1.4875,1.5375,10.025,3.3125,7.2875,0.9875,2.5375,2.325,4.75,2.4125,2.8375,23000000,7.173913043478261
57,1995.0,Calbert Cheaney,2800000.0,2.0,23.0,WAS,78.0,71.0,14.2,0.529,0.251,0.18899999999999997,4.4,9.7,7.0,11.0,1.5,0.6,11.0,22.6,2.1,1.1,3.2,0.057999999999999996,0.5,-1.6,-1.2,0.5,0.45299999999999996,0.33899999999999997,0.49200000000000005,0.496,0.812,0.9102564102564102,33.98717948717949,1.3461538461538463,2.769230769230769,4.115384615384615,2.269230769230769,1.0256410256410255,0.2692307692307692,1.935897435897436,2.7564102564102564,16.576923076923077,6.564102564102564,14.474358974358974,1.2307692307692308,3.628205128205128,5.333333333333333,10.846153846153847,2.217948717948718,2.730769230769231,23000000,12.173913043478262
58,1995.0,Carl Herrera,1300000.0,4.0,28.0,HOU,61.0,26.0,11.7,0.5479999999999999,0.006,0.358,8.9,14.8,12.0,4.9,1.5,2.0,15.8,15.1,0.6,1.5,2.1,0.076,-2.8,0.6,-2.2,-0.1,0.523,0.0,0.526,0.523,0.624,0.4262295081967213,21.81967213114754,1.6065573770491803,2.9508196721311477,4.557377049180328,0.7213114754098361,0.6557377049180327,0.6229508196721312,1.1639344262295082,2.2295081967213113,6.80327868852459,2.80327868852459,5.360655737704918,0.0,0.03278688524590164,2.80327868852459,5.327868852459017,1.1967213114754098,1.9180327868852458,23000000,5.6521739130434785
